web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,retail_price,buy_price,auction_price
"1700779031-1027","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Optimus Prime (ROTB)","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/optimus-prime-rotb-6725.php","Transformers Studio Series Optimus Prime (ROTB) (Buzzworthy)","Transformers Studio Series Optimus Prime (ROTB) (Buzzworthy) 
OPTIMUS PRIME and the AUTOBOTS keep watch in case of a TERRORCON attack.



Convert the action figure from robot to truck mode in 34 steps. Pose the Optimus Prime toy in the included Street Festival Stakeout removable backdrop scene.","/transformers/images/thumbs/optimus-prime-rotb-6725.jpg","C$46.59","C$108.66","C$108.78"
"1700779034-1028","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","N.E.S.T. Ratchet","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/n-e-s-t-ratchet-5617.php","Transformers Studio Series N.E.S.T. Ratchet (Buzzworthy)","Transformers Studio Series N.E.S.T. Ratchet (Buzzworthy) 
Bring the epic action of the Transformers movies from the big screen into your collection with the Transformers Studio Series N.E.S.T. Autobot Ratchet action figure! Ratchet teams up with N.E.S.T. to protect Chicago from a Decepticon attack.



Studio Series Transformers toys are collectible action figures for 8 year old boys and girls that feature movie-inspired details and accessories. Convert the action figure from robot to medical vehicle mode in 18 steps and pose the N.E.S.T. Autobot Ratchet toy in the included Battle of Chicago removable backdrop scene.","/transformers/images/thumbs/n-e-s-t-ratchet-5617.jpg","C$34.25","C$37.50","C$35.17"
"1700779036-1029","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","N.E.S.T. Bonecrusher","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/n-e-s-t-bonecrusher-5616.php","Transformers Studio Series N.E.S.T. Bonecrusher (Buzzworthy)","Transformers Studio Series N.E.S.T. Bonecrusher (Buzzworthy) 
Bring the epic action of the Transformers movies from the big screen into your collection with the Transformers Studio Series N.E.S.T. Bonecrusher action figure! Bonecrusher gathers intel on a reconnaissance mission disguised as a N.E.S.T. vehicle.","/transformers/images/thumbs/n-e-s-t-bonecrusher-5616.jpg","C$46.59","C$72.85","C$68.52"
"1700779038-1030","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Kup","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/kup-5614.php","Transformers Studio Series Kup (Buzzworthy)","Transformers Studio Series Kup (Buzzworthy) 
This Studio Series 86-02BB Deluxe Class Kup figure converts from robot to Cybertronian truck mode in 21 steps. Remove backdrop to showcase Kup in the Battle of Autobot City scene. As the Insecticons munch into Autobot City, Kup speeds inside, rolling over Kickback in the processs. Figure features vivid, movie-inspired deco and includes a detailed Energon canteen and blaster accessories modeled after the weapons from the film.","/transformers/images/thumbs/kup-5614.jpg","C$31.51","C$25.01","C$24.15"
"1700779040-1031","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Cliffjumper","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/cliffjumper-5615.php","Transformers Studio Series Cliffjumper (Buzzworthy)","Transformers Studio Series Cliffjumper (Buzzworthy) 
This Studio Series 86-13BB Deluxe Class Cliffjumper figure converts from robot to car mode in 19 steps. Remove backdrop to showcase Cliffjumper in the Moonbase One Destruction scene. As Moonbase One is reduced to scrap metal, Cliffjumper boards a ship in the attempt to escape the jaws of Unicron. Figure features vivid, movie-inspired deco and includes bazooka and shield accessories.","/transformers/images/thumbs/cliffjumper-5615.jpg","C$31.51","C$35.81","C$35.92"
"1700779042-1032","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","High Octane Bumblebee vs Stinger (79 & 2)","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/high-octane-bumblebee-vs-stinger-79-2-3621.php","Transformers Studio Series High Octane Bumblebee vs Stinger (79 & 2) (Buzzworthy)","Transformers Studio Series High Octane Bumblebee vs Stinger (79 & 2) (Buzzworthy) 
You've probably heard the buzz, but Bumblebee is kind of a big deal. And now the bodacious bot is making his mark with a line of some of the most buzzworthy Bumblebee products for fans of all ages. See what all the buzz is about, only at Target.



Bumblebee and his Decepticon alter ego, Stinger, battle to determine who the superior bot is. Remove backdrop to showcase High Octane Bumblebee and Decepticon Stinger figures in the Duel of the Doppelgangers scene. Figures feature vivid, movie-inspired deco and include detailed blaster and blade weapon accessories inspired by the film.



Exclusive to Target","/transformers/images/thumbs/high-octane-bumblebee-vs-stinger-79-2-3621.jpg","C$54.81","C$253.56","C$198.74"
"1700779044-1033","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Bumblebee (2008 Camaro)","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/bumblebee-2008-camaro-3618.php","Transformers Studio Series Bumblebee (2008 Camaro) (Buzzworthy)","Transformers Studio Series Bumblebee (2008 Camaro) (Buzzworthy) 
You've probably heard the buzz, but Bumblebee is kind of a big deal. And now the bodacious bot is making his mark with a line of some of the most buzzworthy Bumblebee products for fans of all ages. See what all the buzz is about, only at Target.



This Studio Series 74BB Deluxe Class Bumblebee figure converts from robot to licensed Camaro mode in 40 steps. Remove backdrop to showcase Bumblebee in the Pyramid Desert Battle scene. Figure features vivid, movie-inspired deco and includes a Sam Witwicky mini figure and detailed blaster accessory modeled after the weapon Bumblebee uses in the film.



Exclusive to Target","/transformers/images/thumbs/bumblebee-2008-camaro-3618.jpg","C$31.51","C$46.85","C$40.60"
"1700779047-1034","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Bumblebee","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/bumblebee-5613.php","Transformers Studio Series Bumblebee (Buzzworthy)","Transformers Studio Series Bumblebee (Buzzworthy) 
This Studio Series 70BB Deluxe Class B-127 figure converts from robot to Cybertronian vehicle in 20 steps. Remove backdrop to showcase B-127 in the Cybertron Falls scene. As the Decepticons take Cybertron, B-127 is sent on a mission to establish a base on a well-hidden planet called Earth. Figure features vivid, movie-inspired deco and includes a detailed blaster accessory modeled after the weapon B-127 uses in the film.","/transformers/images/thumbs/bumblebee-5613.jpg","C$34.25","C$27.92","C$26.22"
"1700779049-1035","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Optimus Prime (Prime Wing)","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/optimus-prime-prime-wing-5612.php","Transformers Studio Series Optimus Prime (Prime Wing) (Buzzworthy)","Transformers Studio Series Optimus Prime (Prime Wing) (Buzzworthy) 
You've probably heard the buzz, but Bumblebee is kind of a big deal. And now the bodacious bot is making his mark with a line of some of the most buzzworthy Transformers action figures for boys, girls, and fans of all ages. See what all the buzz is about, only at Target.



Bring the epic action of the Transformers movies from the big screen into your collection with the Transformers Studio Series Optimus Prime action figure! Optimus Prime blasts into battle, using his jetwing tech to take out the Driller tearing through Chicago.","/transformers/images/thumbs/optimus-prime-prime-wing-5612.jpg","C$76.74","C$129.80","C$138.66"
"1700779051-1036","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Shatter","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/shatter-3617.php","Transformers Studio Series Shatter (Buzzworthy)","Transformers Studio Series Shatter (Buzzworthy) 
You've probably heard the buzz, but Bumblebee is kind of a big deal. And now the bodacious bot is making his mark with a line of some of the most buzzworthy Bumblebee products for fans of all ages. See what all the buzz is about, only at Target.



This Studio Series 40BB Deluxe Class Shatter figure converts from robot to licensed Plymouth GTX mode in 23 steps. Remove backdrop to showcase Shatter in the Decepticon Arrival scene. Figure features vivid, movie-inspired deco and includes 2 detailed blaster accessories modeled after the weapons Shatter uses in the film.



Exclusive to Target","/transformers/images/thumbs/shatter-3617.jpg","C$31.51","null","C$50.25"
"1700779053-1037","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Clunker Bumblebee vs Barricade (27 & 28)","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/clunker-bumblebee-vs-barricade-27-28-3620.php","Transformers Studio Series Clunker Bumblebee vs Barricade (27 & 28) (Buzzworthy)","Transformers Studio Series Clunker Bumblebee vs Barricade (27 & 28) (Buzzworthy) 
You've probably heard the buzz, but Bumblebee is kind of a big deal. And now the bodacious bot is making his mark with a line of some of the most buzzworthy Bumblebee products for fans of all ages. See what all the buzz is about, only at Target.



Bumblebee and Barricade faceoff in a battle for Sam Witwicky, alias LadiesMan217. Remove backdrop to showcase Clunker Bumblebee and Barricade figures in the Police Chase scene. Figures feature vivid, movie-inspired deco and include detailed blaster and rotor blade wheel weapon accessories inspired by the film. The Studio Series.



Exclusive to Target","/transformers/images/thumbs/clunker-bumblebee-vs-barricade-27-28-3620.jpg","C$54.80","null","C$125.73"
"1700779055-1038","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Bumblebee (WWII)","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/bumblebee-wwii-3616.php","Transformers Studio Series Bumblebee (WWII) (Buzzworthy)","Transformers Studio Series Bumblebee (WWII) (Buzzworthy) 
You've probably heard the buzz, but Bumblebee is kind of a big deal. And now the bodacious bot is making his mark with a line of some of the most buzzworthy Bumblebee products for fans of all ages. See what all the buzz is about, only at Target.



This Studio Series 26BB Deluxe Class WWII Bumblebee figure converts from robot to tank mode in 25 steps. Remove backdrop to showcase WWII Bumblebee in the WWII Flashback scene. Figure features vivid, movie-inspired deco and includes detailed blast and hammer accessories modeled after the weapons Bumblebee uses in the film.



Exclusive to Target","/transformers/images/thumbs/bumblebee-wwii-3616.jpg","C$31.51","C$30.82","C$26.49"
"1700779058-1039","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Ironhide and Prowl (24 & 20)","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/ironhide-and-prowl-24-20-7090.php","Transformers Studio Series Ironhide and Prowl (24 & 20) (Buzzworthy)","Transformers Studio Series Ironhide and Prowl (24 & 20) (Buzzworthy) 
Ironhide toy converts from robot to van mode in 26 steps. Prowl toy converts from robot to police car mode in 17 steps. Comes with 3 blaster accessories. Pose these Transformers toys in the included Decepticon Shuttle Ambush removable backdrop scene.","/transformers/images/thumbs/ironhide-and-prowl-24-20-7090.jpg","C$76.74","C$45.93","C$43.46"
"1700779060-1040","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Bumblebee vs Dropkick (18 & 46)","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/bumblebee-vs-dropkick-18-46-3619.php","Transformers Studio Series Bumblebee vs Dropkick (18 & 46) (Buzzworthy)","Transformers Studio Series Bumblebee vs Dropkick (18 & 46) (Buzzworthy) 
Bumblebee faces off against Dropkick in an explosive final battle, fighting to get to Shatter and stop her from transmitting a dangerous message to the Decepticons. Remove backdrop to showcase Bumblebee and Dropkick figures in the Showdown by the Docks scene. Figures feature vivid, movie-inspired deco and include detailed blaster and arm blade weapon accessories inspired by the film.



The Deluxe Class 18BB Bumblebee figure converts from robot to licensed VW Beetle mode in 22 steps and the Deluxe Class 46BB Dropkick figure converts from robot to licensed AMC Javelin mode in 26 steps.



Exclusive to Target","/transformers/images/thumbs/bumblebee-vs-dropkick-18-46-3619.jpg","C$54.81","C$123.35","C$109.65"
"1700779062-1041","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Bumblebee (1976 Camaro)","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/bumblebee-1976-camaro-3615.php","Transformers Studio Series Bumblebee (1976 Camaro) (Buzzworthy)","Transformers Studio Series Bumblebee (1976 Camaro) (Buzzworthy) 
You've probably heard the buzz, but Bumblebee is kind of a big deal. And now the bodacious bot is making his mark with a line of some of the most buzzworthy Bumblebee products for fans of all ages. See what all the buzz is about, only at Target.



This Studio Series 15BB Deluxe Class Bumblebee figure converts from robot to licensed Camaro mode in 23 steps. Remove backdrop to showcase Bumblebee in the Highway Freedom scene. Figure features vivid, movie-inspired deco and includes a Charlie mini figure and detailed blaster accessory modeled after the weapon Bumblebee uses in the film.



Exclusive to Target","/transformers/images/thumbs/bumblebee-1976-camaro-3615.jpg","C$31.51","C$47.03","C$42.61"
"1700779064-1042","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Grimlock","https://www.actionfigure411.com/transformers/studio-series/buzzworthy/grimlock-7089.php","Transformers Studio Series Grimlock (Buzzworthy)","Transformers Studio Series Grimlock (Buzzworthy) 
Freed from his confines, Grimlock unleashes massive Dinobot force.



Convert the action figure from robot to T. rex mode in 30 steps. Pose the Grimlock toy in the included Hong Kong Pursuit removable backdrop scene. Buzzworthy Bumblebee figures feature special Buzzworthy Bumblebee collectible packaging.","/transformers/images/thumbs/grimlock-7089.jpg","C$75.37","C$77.82","C$64.77"
"1700779066-1043","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Devastator","https://www.actionfigure411.com/transformers/studio-series/multi-packs/devastator-3614.php","Transformers Studio Series Devastator","Transformers Studio Series Devastator 
In the Pyramid Desert Battle scene from Transformers: Revenge of the Fallen, the desert sands quake as the Constructicons combine to form Devastator. 


This Studio Series 69 Devastator 8-pack features all 8 collectible Constructicon figures inspired by Transformers: Revenge of the Fallen with additional movie-inspired deco that did not appear in the original releases. The figures combine to form the Devastator figure in 11 steps. Figures also convert between robot and construction vehicle modes. Remove extra-large backdrop to showcase the massive Devastator in the Pyramid Desert Battle scene. Includes 3 detailed accessory.","/transformers/images/thumbs/devastator-3614.jpg","C$376.90","C$979.98","C$1010.82"
"1700779069-1044","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Draft (The Last Knight)","https://www.actionfigure411.com/transformers/studio-series/multi-packs/draft-the-last-knight-3613.php","Transformers Studio Series Draft (The Last Knight)","Transformers Studio Series Draft (The Last Knight) 
Transformers Studio Series 36 Drift is Deluxe Class and stands approximately 4.5-inches tall in robot mode. 36 Drift transforms from Sports Car to robot and back and is screen accurate to the Transformers: The Last Knight live action movie. Each Studio Series figure jumps out of the big screen and into your collection with a high attention to detail and accurate color schemes reflecting their appearance in the Transformers live action movie



Exclusive to Entertainment Earth.","/transformers/images/thumbs/draft-the-last-knight-3613.jpg","C$36.99","C$97.76","C$104.14"
"1700779071-1045","https://www.actionfigure411.com/transformers/studio-series-price-guide.php","Bumblebee (Then & Now 24 & 25)","https://www.actionfigure411.com/transformers/studio-series/multi-packs/bumblebee-then-now-24-25-3612.php","Transformers Studio Series Bumblebee (Then & Now 24 & 25)","Transformers Studio Series Bumblebee (Then & Now 24 & 25) 
Transformers Studio Series 24 and 25 Bumblebee Then and Now 2-Pack Exclusive is Deluxe Class and stands approximately 4.5-inches tall in robot mode. 24 and 25 Bumblebee Then and Now 2-Pack Exclusive transforms from Car to robot and back and is screen accurate to the Transformers: Bumblebee live action movie. Each Studio Series figure jumps out of the big screen and into your collection with a high attention to detail and accurate color schemes reflecting their appearance in the Transformers live action movie. 


Exclusive to Target.","/transformers/images/thumbs/bumblebee-then-now-24-25-3612.jpg","C$54.81","C$80.07","C$64.71"
